order_date,order_id,buyer_code,marketplace,product_id,product_category,order_quantity,price_unit,price_unit_vat,carrier,customer_postal,customer_destination
2019-01-02 00:01:00,SO27799,106,ZILINGO,67613,Outdoor,1," 77,136 "," 84,850 ",Zilingo Pick Up,65153,Jawa Timur
2019-01-02 00:01:00,SO27800,107,ZILINGO,67235,Lifestyle,1," 158,954 "," 174,849 ",Zilingo Pick Up,40236,Jawa Barat
2019-01-02 00:01:00,SO27801,108,ZILINGO,60286,Outdoor,1," 81,681 "," 89,849 ",Zilingo Pick Up,57557,Jawa Tengah
2019-01-02 00:01:00,SO27802,109,ZILINGO,67429,Outdoor,1," 154,409 "," 169,850 ",Zilingo Pick Up,60133,Jawa Timur
2019-01-02 00:01:00,SO27803,110,ZILINGO,64759,Lifestyle,1," 68,045 "," 74,850 ",Zilingo Pick Up,94111,Sulawesi Tengah
2019-01-02 00:01:00,SO27804,69,ZILINGO,64756,Lifestyle,1," 72,590 "," 79,849 ",Zilingo Pick Up,50279,Jawa Tengah
2019-01-02 04:01:13,1056436,111,BUKALAPAK,71212,Outdoor,1," 136,227 "," 149,850 ",Tiki REG,35366,Lampung
2019-01-02 05:01:13,1056241,112,BUKALAPAK,68814,Outdoor,1," 172,590 "," 189,849 ",Tiki REG,61384,Jawa Timur
2019-01-02 06:01:20,1056625,113,TOKOPEDIA,68038,Lifestyle,1," 218,045 "," 239,850 ",JNE REG,46132,Jawa Barat
2019-01-02 07:01:44,1056259,114,TOKOPEDIA,68222,Outdoor,1," 281,681 "," 309,849 ",JNE REG,68111,Jawa Timur
2019-01-02 07:01:56,1056239,115,BUKALAPAK,60226,Work,1," 436,227 "," 479,850 ",Tiki REG,52125,Jawa Tengah
2019-01-02 08:01:49,1056237,116,BUKALAPAK,70979,Outdoor,1," 81,681 "," 89,849 ",Tiki REG,11620,DKI Jakarta
2019-01-02 08:01:15,1056260,117,TOKOPEDIA,67634,Lifestyle,1," 177,136 "," 194,850 ",J&T REG,13320,DKI Jakarta
2019-01-02 08:01:24,1056603,118,BUKALAPAK,67634,Lifestyle,1," 177,136 "," 194,850 ",Tiki REG,65156,Jawa Timur
2019-01-02 09:01:11,1056455,119,TOKOPEDIA,68257,Lifestyle,1," 831,681 "," 914,849 ",JNE REG,90245,Sulawesi Selatan
2019-01-02 10:01:15,1056563,120,TOKOPEDIA,64721,Outdoor,1," 58,954 "," 64,849 ",TIKI - REG,11420,DKI Jakarta
2019-01-02 10:01:03,1056564,121,TOKOPEDIA,64721,Outdoor,1," 58,954 "," 64,849 ",JNE REG,11420,DKI Jakarta
2019-01-02 10:01:03,1056565,122,TOKOPEDIA,74905,Outdoor,1," 172,590 "," 189,849 ",JNE REG,73881,Kalimantan Tengah
2019-01-02 10:01:46,1056566,123,TOKOPEDIA,71012,Lifestyle,1," 240,772 "," 264,849 ",TIKI - REG,61257,Jawa Timur
2019-01-02 10:01:20,1056498,124,BUKALAPAK,68813,Outdoor,2," 172,590 "," 189,849 ",Tiki REG,17412,Jawa Barat
2019-01-02 10:01:58,1056567,125,TOKOPEDIA,71010,Outdoor,1," 81,681 "," 89,849 ",TIKI - REG,15132,Banten
2019-01-02 10:01:42,1063180,126,TOKOPEDIA,64759,Lifestyle,1," 68,045 "," 74,850 ",JNE REG,16820,Jawa Barat
2019-01-02 10:01:58,1056606,127,BUKALAPAK,60270,Outdoor,1," 345,318 "," 379,850 ",JNE REG,50661,Jawa Tengah
2019-01-02 10:01:52,1056496,128,BUKALAPAK,67632,Lifestyle,1," 158,954 "," 174,849 ",JNE REG,16360,Jawa Barat
2019-01-02 10:01:52,1056496,128,BUKALAPAK,60383,Outdoor,1," 581,681 "," 639,849 ",JNE REG,16360,Jawa Barat
2019-01-02 10:01:52,1056496,128,BUKALAPAK,67242,Outdoor,1," 736,227 "," 809,850 ",JNE REG,16360,Jawa Barat
2019-01-02 10:01:50,1056605,129,BUKALAPAK,71221,Outdoor,1," 158,954 "," 174,849 ",Tiki REG,45661,Jawa Barat
